Date,Export 1,Export 2,Combined
2025-07-07T00:00:00,0,0,0
2025-07-14T00:00:00,0,0,0
2025-07-21T00:00:00,0,0,0
2025-07-28T00:00:00,0,0,0
2025-08-04T00:00:00,0,0,0
2025-08-11T00:00:00,0,0,0
2025-08-18T00:00:00,0,0,0
2025-08-25T00:00:00,0,0,0
2025-09-01T00:00:00,0,0,0
2025-09-08T00:00:00,0,0,0
2025-09-15T00:00:00,0,0,0
2025-09-22T00:00:00,0,0,0
2025-09-29T00:00:00,0,0,0
2025-10-06T00:00:00,0,0,0
2025-10-13T00:00:00,0,0,0
2025-10-20T00:00:00,0,0,0
2025-10-27T00:00:00,0,1,1
2025-11-03T00:00:00,0,68,68
2025-11-10T00:00:00,0,67,67
2025-11-17T00:00:00,0,37,37
2025-11-24T00:00:00,0,54,54
2025-12-01T00:00:00,0,53,53
2025-12-08T00:00:00,0,45,45
2025-12-15T00:00:00,0,269,269
2025-12-22T00:00:00,0,485,485
2025-12-29T00:00:00,0,465,465
2026-01-05T00:00:00,0,647,647
2026-01-12T00:00:00,0,701,701
2026-01-19T00:00:00,0,631,631
2026-01-26T00:00:00,0,527,527
2026-02-02T00:00:00,0,521,521
2026-02-09T00:00:00,0,578,578
2026-02-16T00:00:00,0,429,429
2026-02-23T00:00:00,0,399,399
2026-03-02T00:00:00,0,625,625
2026-03-09T00:00:00,6,616,622
2026-03-16T00:00:00,233,69,302
2026-03-23T00:00:00,145,51,196
2026-03-30T00:00:00,102,51,153
2026-04-06T00:00:00,87,33,120
2026-04-13T00:00:00,81,45,126
2026-04-20T00:00:00,55,28,83
2026-04-27T00:00:00,49,39,88
2026-05-04T00:00:00,52,25,77
2026-05-11T00:00:00,38,45,83
2026-05-18T00:00:00,44,37,81
2026-05-25T00:00:00,33,33,66
2026-06-01T00:00:00,34,29,63
2026-06-08T00:00:00,37,30,67
2026-06-15T00:00:00,41,40,81
2026-06-22T00:00:00,19,25,44
2026-06-29T00:00:00,35,31,66
2026-07-06T00:00:00,15,41,56
